Id,MSZoning,LotArea,LotShape,LotConfig,Neighborhood,Condition1,BldgType,OverallQual,OverallCond,YearBuilt,RoofMatl,Exterior1st,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,TotalBsmtSF,HeatingQC,CentralAir,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageCars,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,MiscVal,SaleType,SaleCondition,LogSalePrice
1,2,8450,3,4,5,0,0,7,5,104,0,2,2,1,1,2,4,1,2,856,0,1,1710,3,1,3,2,8,6,0,0,2,0,61,0,0,0,0,8,0,12.247694320220994
2,2,9600,3,2,24,1,0,6,6,77,0,2,3,1,1,2,4,0,0,1262,0,1,1262,2,1,3,3,6,6,1,0,2,298,0,0,0,0,0,8,0,12.109010932687042
3,2,11250,0,4,5,0,0,7,5,102,0,2,2,1,1,2,4,1,2,920,0,1,1786,3,1,3,2,6,6,1,0,2,0,42,0,0,0,0,8,0,12.31716669303576
4,2,9550,0,0,6,0,0,7,5,19,0,2,3,1,0,2,1,1,0,756,1,1,1717,2,0,3,2,7,6,1,2,3,0,35,272,0,0,0,8,1,11.84939770159144
5,2,14260,0,2,15,0,0,8,5,101,0,2,2,1,1,2,4,1,2,1145,0,1,2198,3,1,4,2,9,6,1,0,3,192,84,0,0,0,0,8,0,12.429216196844383
6,2,14115,0,4,11,0,0,5,5,94,0,2,3,1,1,2,4,1,2,796,0,1,1362,2,1,1,3,5,6,0,0,2,40,30,0,320,0,700,8,0,11.870599909242044
7,2,10084,3,4,21,0,0,8,5,105,0,2,2,1,1,0,4,1,2,1686,0,1,1694,3,0,3,2,7,6,1,0,2,255,57,0,0,0,0,8,0,12.634603026569334
8,2,10382,0,0,14,1,0,7,6,74,0,2,3,1,1,2,4,1,0,1107,0,1,2090,3,1,3,3,7,6,2,0,2,235,204,228,0,0,350,8,0,12.206072645530174
9,1,6120,3,4,17,1,0,7,5,35,0,1,3,1,0,2,4,1,6,952,1,1,1774,2,0,2,3,8,2,2,2,2,90,0,205,0,0,0,8,1,11.77452020265869
10,2,7420,3,0,3,1,1,5,6,42,0,2,3,1,0,2,4,1,2,991,0,1,1077,2,0,2,3,5,6,2,0,1,0,4,0,0,0,0,8,0,11.678439903447801
11,2,11200,3,4,19,0,0,5,5,66,0,2,3,1,1,2,4,1,5,1040,0,1,1040,2,0,3,3,5,6,0,2,1,0,0,0,0,0,0,8,0,11.771436160121729
12,2,11924,0,4,16,0,0,9,5,106,0,2,0,1,1,0,4,1,2,1175,0,1,2324,4,0,4,0,11,6,2,2,3,147,21,0,0,0,0,6,1,12.751299696013497
13,2,12968,1,4,19,0,0,5,6,63,0,2,3,1,1,2,4,1,0,912,1,1,912,2,0,2,3,4,6,0,2,1,140,0,0,0,176,0,8,0,11.877568578558138
14,2,10652,0,4,5,0,0,7,5,107,0,2,2,1,1,2,4,1,6,1494,0,1,1494,2,0,3,2,7,6,1,0,3,160,33,0,0,0,0,6,1,12.540757571577291
15,2,10920,0,0,12,0,0,6,5,61,0,2,3,1,1,2,4,1,1,1253,1,1,1253,2,1,2,3,5,6,1,0,1,0,213,176,0,0,0,8,0,11.964001084330445
16,1,6120,3,0,3,0,0,7,6,33,0,2,3,1,0,2,4,1,6,832,0,1,854,1,0,2,3,5,6,0,2,2,48,112,0,0,0,0,8,0,11.790557201568507
