TotalBsmtSF,LogSalePrice,BsmtHasBath,BsmtQual_Ex,BsmtQual_Fa,BsmtQual_Gd,BsmtQual_TA,BsmtCond_Fa,BsmtCond_Gd,BsmtCond_Po,BsmtCond_TA,BsmtExposure_Av,BsmtExposure_Gd,BsmtExposure_Mn,BsmtExposure_No,BsmtFinType1_ALQ,BsmtFinType1_BLQ,BsmtFinType1_GLQ,BsmtFinType1_LwQ,BsmtFinType1_Rec,BsmtFinType1_Unf,BsmtScore,Id,MiscFeature,MiscVal,MoSold,SaleType,SaleCondition
856,12.24769432,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.290585,1,No Feature,0,2,WD,Normal
1262,12.10901093,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0.285759,2,No Feature,0,5,WD,Normal
920,12.31716669,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0.345769,3,No Feature,0,9,WD,Normal
756,11.8493977,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0.03302,4,No Feature,0,2,WD,Abnorml
1145,12.4292162,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.278002,5,No Feature,0,12,WD,Normal
796,11.87059991,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.290585,6,Shed,700,10,WD,Normal
1686,12.63460303,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.534085,7,No Feature,0,8,WD,Normal
1107,12.20607265,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0.269344,8,Shed,350,11,WD,Normal
952,11.7745202,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,-0.049338,9,No Feature,0,4,WD,Abnorml
991,11.6784399,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.032294,10,No Feature,0,1,WD,Normal
1040,11.77143616,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,-0.063891,11,No Feature,0,2,WD,Normal
1175,12.7512997,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.546668,12,No Feature,0,7,New,Partial
912,11.87756858,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,-0.044131,13,No Feature,0,9,WD,Normal
1494,12.54075757,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0.19637,14,No Feature,0,8,New,Partial
1253,11.96400108,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,-0.061059,15,No Feature,0,5,WD,Normal
832,11.7905572,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,-0.049338,16,No Feature,0,7,WD,Normal
1004,11.91170158,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,-0.044131,17,Shed,700,3,WD,Normal
0,11.40756495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,Shed,500,10,WD,Normal
1114,11.97665948,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.032294,19,No Feature,0,6,WD,Normal
1029,11.84222921,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,-0.069686,20,No Feature,0,5,COD,Abnorml
1158,12.69250311,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0.452453,21,No Feature,0,11,New,Partial
637,11.84510278,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,-0.049338,22,No Feature,0,6,WD,Normal
1777,12.34583459,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.208953,23,No Feature,0,9,WD,Normal
1040,11.7745202,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.290585,24,No Feature,0,6,WD,Normal
1060,11.94470788,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,-0.008707,25,No Feature,0,5,WD,Normal
1566,12.45410391,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.208953,26,No Feature,0,7,WD,Normal
900,11.81154748,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,-0.005875,27,No Feature,0,5,WD,Normal
1704,12.63134038,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.546668,28,No Feature,0,5,WD,Normal
1484,12.24288662,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0.01054,29,No Feature,0,12,WD,Normal
520,11.13458902,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,-0.049338,30,No Feature,0,5,WD,Normal
649,10.59663473,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,-0.049338,31,No Feature,0,7,WD,Normal
1228,11.91404782,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,-0.049338,32,No Feature,0,6,WD,Normal
1234,12.10015642,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0.452453,33,No Feature,0,1,WD,Normal
1398,12.01672647,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,-0.063891,34,No Feature,0,4,WD,Normal
1561,12.53357621,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.546668,35,No Feature,0,8,WD,Normal
1117,12.64109656,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0.452453,36,No Feature,0,9,WD,Normal
1097,11.88448902,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.208953,37,No Feature,0,6,WD,Normal
1297,11.9381932,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,-0.063891,38,No Feature,0,10,WD,Normal
1057,11.59910316,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.032294,39,No Feature,0,1,WD,Abnorml
0,11.31447453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,No Feature,0,6,WD,AdjLand
1088,11.98292909,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,-0.057235,41,No Feature,0,12,WD,Abnorml
1350,12.04355372,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0.01054,42,No Feature,0,7,WD,Normal
840,11.87756858,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0.201577,43,No Feature,0,12,WD,Normal
938,11.77721096,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0.169366,44,No Feature,0,7,WD,Normal
1150,11.85651517,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,-0.044131,45,No Feature,0,5,WD,Normal
1752,12.67576373,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.546668,46,No Feature,0,2,WD,Normal
1434,12.38708501,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.546668,47,No Feature,0,8,WD,Abnorml
1656,12.42801548,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.284658,48,No Feature,0,7,WD,Normal
736,11.6351431,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,-0.049338,49,No Feature,0,6,New,Partial
955,11.75194237,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,-0.061059,50,No Feature,0,1,WD,Normal
794,12.08390501,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.278002,51,No Feature,0,7,WD,Normal
816,11.6483301,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,-0.049338,52,Shed,400,9,WD,Normal
816,11.60823564,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0.253548,53,No Feature,0,5,WD,Normal
1842,12.86099861,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0.618267,54,No Feature,0,11,WD,Normal
384,11.77528973,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,-0.037475,55,No Feature,0,2,WD,Normal
1425,12.10348606,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,-0.054403,56,No Feature,0,7,WD,Normal
