TotalBsmtSF,LogSalePrice,BsmtHasBath,BsmtQual_Ex,BsmtQual_Fa,BsmtQual_Gd,BsmtQual_TA,BsmtCond_Fa,BsmtCond_Gd,BsmtCond_Po,BsmtCond_TA,BsmtExposure_Av,BsmtExposure_Gd,BsmtExposure_Mn,BsmtExposure_No,BsmtFinType1_ALQ,BsmtFinType1_BLQ,BsmtFinType1_GLQ,BsmtFinType1_LwQ,BsmtFinType1_Rec,BsmtFinType1_Unf,BsmtScore,Id,MiscVal,MoSold,MiscFeature_Gar2,MiscFeature_Othr,MiscFeature_Shed,MiscFeature_TenC,SaleType_COD,SaleType_CWD,SaleType_Con,SaleType_ConLD,SaleType_ConLI,SaleType_ConLw,SaleType_New,SaleType_Oth,SaleCondition_Abnorml,SaleCondition_AdjLand,SaleCondition_Alloca,SaleCondition_Family,SaleCondition_Partial
856,12.24769432,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.290585,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1262,12.10901093,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0.285759,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
920,12.31716669,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0.345769,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
756,11.8493977,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0.03302,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1145,12.4292162,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.278002,5,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
796,11.87059991,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.290585,6,700,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1686,12.63460303,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.534085,7,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1107,12.20607265,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0.269344,8,350,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
952,11.7745202,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,-0.049338,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
991,11.6784399,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.032294,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1040,11.77143616,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,-0.063891,11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1175,12.7512997,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.546668,12,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
912,11.87756858,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,-0.044131,13,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1494,12.54075757,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0.19637,14,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1253,11.96400108,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,-0.061059,15,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
832,11.7905572,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,-0.049338,16,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1004,11.91170158,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,-0.044131,17,700,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,11.40756495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,500,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1114,11.97665948,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.032294,19,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1029,11.84222921,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,-0.069686,20,0,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1158,12.69250311,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0.452453,21,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
637,11.84510278,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,-0.049338,22,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777,12.34583459,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.208953,23,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1040,11.7745202,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.290585,24,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1060,11.94470788,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,-0.008707,25,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1566,12.45410391,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.208953,26,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
900,11.81154748,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,-0.005875,27,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1704,12.63134038,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.546668,28,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
