TotalBsmtSF,LogSalePrice,BsmtHasBath,BsmtQual_Ex,BsmtQual_Fa,BsmtQual_Gd,BsmtQual_TA,BsmtCond_Fa,BsmtCond_Gd,BsmtCond_Po,BsmtCond_TA,BsmtExposure_Av,BsmtExposure_Gd,BsmtExposure_Mn,BsmtExposure_No,BsmtFinType1_ALQ,BsmtFinType1_GLQ,BsmtFinType1_Rec,BsmtFinType1_Unf,BsmtScore,Id,MiscVal,MoSold,MiscFeature_Gar2,MiscFeature_Othr,MiscFeature_Shed,MiscFeature_TenC,SaleType_COD,SaleType_CWD,SaleType_Con,SaleType_New,SaleType_Oth,SaleCondition_AdjLand,SaleCondition_Partial,BsmtFinType1_Low,SaleType_LowCon,SaleCondition_Other
856,12.247694320220994,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0.290585,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1262,12.109010932687042,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0.285759,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
920,12.31716669303576,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0.345769,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
756,11.84939770159144,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0.03302,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1145,12.429216196844383,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0.27800199999999997,5,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
796,11.870599909242044,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0.290585,6,700,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1686,12.634603026569334,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0.5340849999999999,7,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1107,12.206072645530174,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0.26934400000000003,8,350,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0
952,11.77452020265869,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,-0.049338,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1
991,11.678439903447801,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0.032294,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1040,11.771436160121729,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,-0.063891,11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1175,12.751299696013497,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0.5466679999999999,12,0,7,0,0,0,0,0,0,0,1,0,0,1,0,0,0
912,11.877568578558138,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,-0.044131,13,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1494,12.540757571577291,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0.19637,14,0,8,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1253,11.964001084330445,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,-0.061058999999999995,15,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0
832,11.790557201568507,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,-0.049338,16,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1004,11.911701584927597,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,-0.044131,17,700,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,11.407564949312402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,18,500,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1114,11.976659481202368,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0.032294,19,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1029,11.842229212112828,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,-0.069686,20,0,5,0,0,0,0,1,0,0,0,0,0,0,1,0,1
1158,12.692503112461443,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0.45245299999999994,21,0,11,0,0,0,0,0,0,0,1,0,0,1,0,0,0
637,11.845102777308561,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,-0.049338,22,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777,12.345834587905333,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0.208953,23,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1040,11.77452020265869,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0.290585,24,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1060,11.944707881395766,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,-0.008707,25,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1566,12.454103912352162,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0.208953,26,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
900,11.811547477460344,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,-0.005875,27,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1704,12.631340380934517,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0.5466679999999999,28,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1484,12.24288661865289,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0.010539999999999999,29,0,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0
520,11.134589024250317,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,-0.049338,30,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
649,10.596634733096073,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,-0.049338,31,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1228,11.914047823644255,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,-0.049338,32,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1234,12.100156419938624,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0.45245299999999994,33,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1398,12.016726473799254,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,-0.063891,34,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1561,12.533576212168626,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0.5466679999999999,35,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1117,12.641096555879882,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0.45245299999999994,36,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
