,LotArea,LotFrontage,LotShape_IR1,LotShape_IR2,LotShape_IR3,LotShape_Reg,LotConfig_Corner,LotConfig_CulDSac,LotConfig_FR2,LotConfig_FR3,LotConfig_Inside,Neighborhood_Blmngtn,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_IDOTRR,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,Condition1_Artery,Condition1_Feedr,Condition1_Norm,Condition1_PosA,Condition1_PosN,Condition1_RRAe,Condition1_RRAn,Condition1_RRNe,Condition1_RRNn,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,Pool,Fence,TotalBsmtSF,LogSalePrice,BsmtHasBath,BsmtQual_Ex,BsmtQual_Fa,BsmtQual_Gd,BsmtQual_TA,BsmtCond_Fa,BsmtCond_Gd,BsmtCond_Po,BsmtCond_TA,BsmtExposure_Av,BsmtExposure_Gd,BsmtExposure_Mn,BsmtExposure_No,BsmtFinType1_ALQ,BsmtFinType1_GLQ,BsmtFinType1_Rec,BsmtFinType1_Unf,BsmtScore,MiscVal,MoSold,MiscFeature_Gar2,MiscFeature_Othr,MiscFeature_Shed,MiscFeature_TenC,SaleType_COD,SaleType_CWD,SaleType_Con,SaleType_New,SaleType_Oth,SaleCondition_AdjLand,SaleCondition_Partial,BsmtFinType1_Low,SaleType_LowCon,SaleCondition_Other,lowqualfinsf,highqualsf,bedroomabvgr,tot_halfbath,tot_fullbath,extra_rooms,fireplace_binary,kitchenabvgr,kitchenqual_Ex,kitchenqual_Fa,kitchenqual_Gd,kitchenqual_TA,functional_Maj1,functional_Maj2,functional_Min1,functional_Min2,functional_Mod,functional_Sev,functional_Typ,garagecars,garagetype_2Types,garagetype_Attchd,garagetype_Basment,garagetype_BuiltIn,garagetype_CarPort,garagetype_Detchd,garagetype_NA,garagefinish_Fin,garagefinish_RFn,garagefinish_Unf,garagefinish_NA,Electrical_Y,CentralAir_Y,Heating_Ex,Heating_Gd,Heating_TA,MSZoning_C,MSZoning_RL,MSZoning_RM/RH,BldgType_1Fam,BldgType_TwnhsE,HouseStyle_1.5Fin,HouseStyle_1.5Unf,HouseStyle_1Story,HouseStyle_2Story,HouseStyle_Other,OverallQual_3,OverallQual_4,OverallQual_5,OverallQual_6,OverallQual_7,OverallQual_8,OverallQual_9,OverallQual_10,OverallCond_4,OverallCond_5,OverallCond_6,RoofStyle_Gable,RoofStyle_Hip,RoofMatl_WdShngl,Exterior_AsbShng,Exterior_BrkFace,Exterior_CemntBd,Exterior_HdBoard,Exterior_MetalSd,Exterior_Plywood,Exterior_Stucco,Exterior_VinylSd,Exterior_Wd Sdng,Exterior_WdShing,MasVnrType_BrkCmn,MasVnrType_BrkFace,MasVnrType_Stone,ExterQual_Ex,ExterQual_Gd,ExterQual_TA,ExterCond_Gd,Foundation_BrkTil,Foundation_CBlock,Foundation_PConc,Foundation_Slab,YearBuilt
0,8450,65.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,61,0,0,0,0,0.0,856,12.247694320220996,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0.290585,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1710,3,1,3,4,0,1,0,0,1,0,0,0,0,0,0,0,1,2,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,2003
1,9600,80.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,298,0,0,0,0,0,0.0,1262,12.109010932687044,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0.28575900000000004,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1262,3,1,2,2,1,1,0,0,0,1,0,0,0,0,0,0,1,2,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1976
2,11250,68.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,42,0,0,0,0,0.0,920,12.31716669303576,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0.345769,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1786,3,1,3,2,1,1,0,0,1,0,0,0,0,0,0,0,1,2,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,2001
3,9550,60.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,35,272,0,0,0,0.0,756,11.849397701591439,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0.03302,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1717,3,0,2,3,1,1,0,0,1,0,0,0,0,0,0,0,1,3,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,1.0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1915
4,14260,84.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,192,84,0,0,0,0,0.0,1145,12.429216196844385,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0.278002,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2198,4,1,3,4,1,1,0,0,1,0,0,0,0,0,0,0,1,3,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,2000
5,14115,85.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,40,30,0,320,0,0,1.0,796,11.870599909242046,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0.290585,700,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1362,1,1,2,3,0,1,0,0,0,1,0,0,0,0,0,0,1,2,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1993
6,10084,75.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,255,57,0,0,0,0,0.0,1686,12.634603026569335,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0.5340849999999999,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1694,3,0,3,3,1,1,0,0,1,0,0,0,0,0,0,0,1,2,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,2004
7,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,235,204,228,0,0,0,0.0,1107,12.206072645530176,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0.26934400000000003,350,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2090,3,1,3,3,1,1,0,0,0,1,0,0,0,0,0,0,1,2,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1973
8,6120,51.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,90,0,205,0,0,0,0.0,952,11.774520202658689,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,-0.049338,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1774,2,0,2,4,1,2,0,0,0,1,0,0,1,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,1.0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1931
9,7420,50.0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0.0,991,11.6784399034478,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0.032293999999999996,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1077,2,0,2,1,1,2,0,0,0,1,0,0,0,0,0,0,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1939
