Id,MSZoning,LotFrontage,LotArea,LotShape,LotConfig,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,RoofStyle,RoofMatl,Exterior1st,MasVnrType,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,TotalBsmtSF,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscFeature,MoSold,SaleType,SaleCondition,SalePrice,BsmtHasBath
1,RL,65.0,8450,Reg,Inside,CollgCr,Norm,1Fam,2Story,7,5,2003,Gable,CompShg,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,GLQ,856,Ex,Y,SBrkr,856,854,0,1710,2,1,3,Gd,8,Typ,0,None,Attchd,2003.0,RFn,2,TA,TA,Y,0,61,0,0,0,0,None,2,WD,Normal,208500,1
2,RL,80.0,9600,Reg,FR2,Veenker,Feedr,1Fam,1Story,6,8,1976,Gable,CompShg,MetalSd,None,TA,TA,CBlock,Gd,TA,Gd,ALQ,1262,Ex,Y,SBrkr,1262,0,0,1262,2,0,3,TA,6,Typ,1,TA,Attchd,1976.0,RFn,2,TA,TA,Y,298,0,0,0,0,0,None,5,WD,Normal,181500,1
3,RL,68.0,11250,IR1,Inside,CollgCr,Norm,1Fam,2Story,7,5,2001,Gable,CompShg,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,Mn,GLQ,920,Ex,Y,SBrkr,920,866,0,1786,2,1,3,Gd,6,Typ,1,TA,Attchd,2001.0,RFn,2,TA,TA,Y,0,42,0,0,0,0,None,9,WD,Normal,223500,1
4,RL,60.0,9550,IR1,Corner,Crawfor,Norm,1Fam,2Story,7,5,1915,Gable,CompShg,Wd Sdng,None,TA,TA,BrkTil,TA,Gd,No,ALQ,756,Gd,Y,SBrkr,961,756,0,1717,1,0,3,Gd,7,Typ,1,Gd,Detchd,1998.0,Unf,3,TA,TA,Y,0,35,272,0,0,0,None,2,WD,Abnorml,140000,1
5,RL,84.0,14260,IR1,FR2,NoRidge,Norm,1Fam,2Story,8,5,2000,Gable,CompShg,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,Av,GLQ,1145,Ex,Y,SBrkr,1145,1053,0,2198,2,1,4,Gd,9,Typ,1,TA,Attchd,2000.0,RFn,3,TA,TA,Y,192,84,0,0,0,0,None,12,WD,Normal,250000,1
6,RL,85.0,14115,IR1,Inside,Mitchel,Norm,1Fam,1.5Fin,5,5,1993,Gable,CompShg,VinylSd,None,TA,TA,Wood,Gd,TA,No,GLQ,796,Ex,Y,SBrkr,796,566,0,1362,1,1,1,TA,5,Typ,0,None,Attchd,1993.0,Unf,2,TA,TA,Y,40,30,0,320,0,0,Shed,10,WD,Normal,143000,1
7,RL,75.0,10084,Reg,Inside,Somerst,Norm,1Fam,1Story,8,5,2004,Gable,CompShg,VinylSd,Stone,Gd,TA,PConc,Ex,TA,Av,GLQ,1686,Ex,Y,SBrkr,1694,0,0,1694,2,0,3,Gd,7,Typ,1,Gd,Attchd,2004.0,RFn,2,TA,TA,Y,255,57,0,0,0,0,None,8,WD,Normal,307000,1
8,RL,0.0,10382,IR1,Corner,NWAmes,PosN,1Fam,2Story,7,6,1973,Gable,CompShg,HdBoard,Stone,TA,TA,CBlock,Gd,TA,Mn,ALQ,1107,Ex,Y,SBrkr,1107,983,0,2090,2,1,3,TA,7,Typ,2,TA,Attchd,1973.0,RFn,2,TA,TA,Y,235,204,228,0,0,0,Shed,11,WD,Normal,200000,1
9,RM,51.0,6120,Reg,Inside,OldTown,Artery,1Fam,1.5Fin,7,5,1931,Gable,CompShg,BrkFace,None,TA,TA,BrkTil,TA,TA,No,Unf,952,Gd,Y,FuseF,1022,752,0,1774,2,0,2,TA,8,Min1,2,TA,Detchd,1931.0,Unf,2,Fa,TA,Y,90,0,205,0,0,0,None,4,WD,Abnorml,129900,0
10,RL,50.0,7420,Reg,Corner,BrkSide,Artery,2fmCon,1.5Unf,5,6,1939,Gable,CompShg,MetalSd,None,TA,TA,BrkTil,TA,TA,No,GLQ,991,Ex,Y,SBrkr,1077,0,0,1077,1,0,2,TA,5,Typ,2,TA,Attchd,1939.0,RFn,1,Gd,TA,Y,0,4,0,0,0,0,None,1,WD,Normal,118000,1
11,RL,70.0,11200,Reg,Inside,Sawyer,Norm,1Fam,1Story,5,5,1965,Hip,CompShg,HdBoard,None,TA,TA,CBlock,TA,TA,No,Rec,1040,Ex,Y,SBrkr,1040,0,0,1040,1,0,3,TA,5,Typ,0,None,Detchd,1965.0,Unf,1,TA,TA,Y,0,0,0,0,0,0,None,2,WD,Normal,129500,1
12,RL,85.0,11924,IR1,Inside,NridgHt,Norm,1Fam,2Story,9,5,2005,Hip,CompShg,WdShing,Stone,Ex,TA,PConc,Ex,TA,No,GLQ,1175,Ex,Y,SBrkr,1182,1142,0,2324,3,0,4,Ex,11,Typ,2,Gd,BuiltIn,2005.0,Fin,3,TA,TA,Y,147,21,0,0,0,0,None,7,New,Partial,345000,1
13,RL,0.0,12968,IR2,Inside,Sawyer,Norm,1Fam,1Story,5,6,1962,Hip,CompShg,HdBoard,None,TA,TA,CBlock,TA,TA,No,ALQ,912,TA,Y,SBrkr,912,0,0,912,1,0,2,TA,4,Typ,0,None,Detchd,1962.0,Unf,1,TA,TA,Y,140,0,0,0,176,0,None,9,WD,Normal,144000,1
14,RL,91.0,10652,IR1,Inside,CollgCr,Norm,1Fam,1Story,7,5,2006,Gable,CompShg,VinylSd,Stone,Gd,TA,PConc,Gd,TA,Av,Unf,1494,Ex,Y,SBrkr,1494,0,0,1494,2,0,3,Gd,7,Typ,1,Gd,Attchd,2006.0,RFn,3,TA,TA,Y,160,33,0,0,0,0,None,8,New,Partial,279500,0
15,RL,0.0,10920,IR1,Corner,NAmes,Norm,1Fam,1Story,6,5,1960,Hip,CompShg,MetalSd,BrkFace,TA,TA,CBlock,TA,TA,No,BLQ,1253,TA,Y,SBrkr,1253,0,0,1253,1,1,2,TA,5,Typ,1,Fa,Attchd,1960.0,RFn,1,TA,TA,Y,0,213,176,0,0,0,None,5,WD,Normal,157000,1
16,RM,51.0,6120,Reg,Corner,BrkSide,Norm,1Fam,1.5Unf,7,8,1929,Gable,CompShg,Wd Sdng,None,TA,TA,BrkTil,TA,TA,No,Unf,832,Ex,Y,FuseA,854,0,0,854,1,0,2,TA,5,Typ,0,None,Detchd,1991.0,Unf,2,TA,TA,Y,48,112,0,0,0,0,None,7,WD,Normal,132000,0
17,RL,0.0,11241,IR1,CulDSac,NAmes,Norm,1Fam,1Story,6,7,1970,Gable,CompShg,Wd Sdng,BrkFace,TA,TA,CBlock,TA,TA,No,ALQ,1004,Ex,Y,SBrkr,1004,0,0,1004,1,0,2,TA,5,Typ,1,TA,Attchd,1970.0,Fin,2,TA,TA,Y,0,0,0,0,0,0,Shed,3,WD,Normal,149000,1
18,RL,72.0,10791,Reg,Inside,Sawyer,Norm,Duplex,1Story,4,5,1967,Gable,CompShg,MetalSd,None,TA,TA,Slab,None,None,None,None,0,TA,Y,SBrkr,1296,0,0,1296,2,0,2,TA,6,Typ,0,None,CarPort,1967.0,Unf,2,TA,TA,Y,0,0,0,0,0,0,Shed,10,WD,Normal,90000,0
19,RL,66.0,13695,Reg,Inside,SawyerW,RRAe,1Fam,1Story,5,5,2004,Gable,CompShg,VinylSd,None,TA,TA,PConc,TA,TA,No,GLQ,1114,Ex,Y,SBrkr,1114,0,0,1114,1,1,3,Gd,6,Typ,0,None,Detchd,2004.0,Unf,2,TA,TA,Y,0,102,0,0,0,0,None,6,WD,Normal,159000,1
20,RL,70.0,7560,Reg,Inside,NAmes,Norm,1Fam,1Story,5,6,1958,Hip,CompShg,BrkFace,None,TA,TA,CBlock,TA,TA,No,LwQ,1029,TA,Y,SBrkr,1339,0,0,1339,1,0,3,TA,6,Min1,0,None,Attchd,1958.0,Unf,1,TA,TA,Y,0,0,0,0,0,0,None,5,COD,Abnorml,139000,0
21,RL,101.0,14215,IR1,Corner,NridgHt,Norm,1Fam,2Story,8,5,2005,Gable,CompShg,VinylSd,BrkFace,Gd,TA,PConc,Ex,TA,Av,Unf,1158,Ex,Y,SBrkr,1158,1218,0,2376,3,1,4,Gd,9,Typ,1,Gd,BuiltIn,2005.0,RFn,3,TA,TA,Y,240,154,0,0,0,0,None,11,New,Partial,325300,0
22,RM,57.0,7449,Reg,Inside,IDOTRR,Norm,1Fam,1.5Unf,7,7,1930,Gable,CompShg,Wd Sdng,None,TA,TA,PConc,TA,TA,No,Unf,637,Ex,Y,FuseF,1108,0,0,1108,1,0,3,Gd,6,Typ,1,Gd,Attchd,1930.0,Unf,1,TA,TA,N,0,0,205,0,0,0,None,6,WD,Normal,139400,0
23,RL,75.0,9742,Reg,Inside,CollgCr,Norm,1Fam,1Story,8,5,2002,Hip,CompShg,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,Unf,1777,Ex,Y,SBrkr,1795,0,0,1795,2,0,3,Gd,7,Typ,1,Gd,Attchd,2002.0,RFn,2,TA,TA,Y,171,159,0,0,0,0,None,9,WD,Normal,230000,0
24,RM,44.0,4224,Reg,Inside,MeadowV,Norm,TwnhsE,1Story,5,7,1976,Gable,CompShg,CemntBd,None,TA,TA,PConc,Gd,TA,No,GLQ,1040,TA,Y,SBrkr,1060,0,0,1060,1,0,3,TA,6,Typ,1,TA,Attchd,1976.0,Unf,2,TA,TA,Y,100,110,0,0,0,0,None,6,WD,Normal,129900,1
25,RL,0.0,8246,IR1,Inside,Sawyer,Norm,1Fam,1Story,5,8,1968,Gable,CompShg,Plywood,None,TA,Gd,CBlock,TA,TA,Mn,Rec,1060,Ex,Y,SBrkr,1060,0,0,1060,1,0,3,Gd,6,Typ,1,TA,Attchd,1968.0,Unf,1,TA,TA,Y,406,90,0,0,0,0,None,5,WD,Normal,154000,1
26,RL,110.0,14230,Reg,Corner,NridgHt,Norm,1Fam,1Story,8,5,2007,Gable,CompShg,VinylSd,Stone,Gd,TA,PConc,Gd,TA,No,Unf,1566,Ex,Y,SBrkr,1600,0,0,1600,2,0,3,Gd,7,Typ,1,Gd,Attchd,2007.0,RFn,3,TA,TA,Y,0,56,0,0,0,0,None,7,WD,Normal,256300,0
27,RL,60.0,7200,Reg,Corner,NAmes,Norm,1Fam,1Story,5,7,1951,Gable,CompShg,Wd Sdng,None,TA,TA,CBlock,TA,TA,Mn,BLQ,900,TA,Y,SBrkr,900,0,0,900,1,0,3,Gd,5,Typ,0,None,Detchd,2005.0,Unf,2,TA,TA,Y,222,32,0,0,0,0,None,5,WD,Normal,134800,1
28,RL,98.0,11478,Reg,Inside,NridgHt,Norm,1Fam,1Story,8,5,2007,Gable,CompShg,VinylSd,Stone,Gd,TA,PConc,Ex,TA,No,GLQ,1704,Ex,Y,SBrkr,1704,0,0,1704,2,0,3,Gd,7,Typ,1,Gd,Attchd,2008.0,RFn,3,TA,TA,Y,0,50,0,0,0,0,None,5,WD,Normal,306000,1
29,RL,47.0,16321,IR1,CulDSac,NAmes,Norm,1Fam,1Story,5,6,1957,Gable,CompShg,MetalSd,None,TA,TA,CBlock,TA,TA,Gd,BLQ,1484,TA,Y,SBrkr,1600,0,0,1600,1,0,2,TA,6,Typ,2,Gd,Attchd,1957.0,RFn,1,TA,TA,Y,288,258,0,0,0,0,None,12,WD,Normal,207500,1
30,RM,60.0,6324,IR1,Inside,BrkSide,Feedr,1Fam,1Story,4,6,1927,Gable,CompShg,MetalSd,None,TA,TA,BrkTil,TA,TA,No,Unf,520,Fa,N,SBrkr,520,0,0,520,1,0,1,Fa,4,Typ,0,None,Detchd,1920.0,Unf,1,Fa,TA,Y,49,0,87,0,0,0,None,5,WD,Normal,68500,0
31,C (all),50.0,8500,Reg,Inside,IDOTRR,Feedr,1Fam,2Story,4,4,1920,Gambrel,CompShg,BrkFace,None,TA,Fa,BrkTil,TA,TA,No,Unf,649,TA,N,SBrkr,649,668,0,1317,1,0,3,TA,6,Typ,0,None,Detchd,1920.0,Unf,1,TA,Fa,N,0,54,172,0,0,0,None,7,WD,Normal,40000,0
32,RL,0.0,8544,IR1,CulDSac,Sawyer,Norm,1Fam,1Story,5,6,1966,Gable,CompShg,HdBoard,None,TA,TA,CBlock,TA,TA,No,Unf,1228,Gd,Y,SBrkr,1228,0,0,1228,1,1,3,Gd,6,Typ,0,None,Attchd,1966.0,Unf,1,TA,TA,Y,0,65,0,0,0,0,None,6,WD,Normal,149350,0
33,RL,85.0,11049,Reg,Corner,CollgCr,Norm,1Fam,1Story,8,5,2007,Gable,CompShg,VinylSd,None,Gd,TA,PConc,Ex,TA,Av,Unf,1234,Ex,Y,SBrkr,1234,0,0,1234,2,0,3,Gd,7,Typ,0,None,Attchd,2007.0,RFn,2,TA,TA,Y,0,30,0,0,0,0,None,1,WD,Normal,179900,0
34,RL,70.0,10552,IR1,Inside,NAmes,Norm,1Fam,1Story,5,5,1959,Hip,CompShg,BrkFace,None,TA,TA,CBlock,TA,TA,No,Rec,1398,Gd,Y,SBrkr,1700,0,0,1700,1,1,4,Gd,6,Typ,1,Gd,Attchd,1959.0,RFn,2,TA,TA,Y,0,38,0,0,0,0,None,4,WD,Normal,165500,1
35,RL,60.0,7313,Reg,Inside,NridgHt,Norm,TwnhsE,1Story,9,5,2005,Hip,CompShg,MetalSd,BrkFace,Ex,TA,PConc,Ex,TA,No,GLQ,1561,Ex,Y,SBrkr,1561,0,0,1561,2,0,2,Ex,6,Typ,1,Gd,Attchd,2005.0,Fin,2,TA,TA,Y,203,47,0,0,0,0,None,8,WD,Normal,277500,1
36,RL,108.0,13418,Reg,Inside,NridgHt,Norm,1Fam,2Story,8,5,2004,Gable,CompShg,VinylSd,Stone,Gd,TA,PConc,Ex,TA,Av,Unf,1117,Ex,Y,SBrkr,1132,1320,0,2452,3,1,4,Gd,9,Typ,1,Gd,BuiltIn,2004.0,Fin,3,TA,TA,Y,113,32,0,0,0,0,None,9,WD,Normal,309000,0
37,RL,112.0,10859,Reg,Corner,CollgCr,Norm,1Fam,1Story,5,5,1994,Gable,CompShg,VinylSd,None,TA,TA,PConc,Gd,TA,No,Unf,1097,Ex,Y,SBrkr,1097,0,0,1097,1,1,3,TA,6,Typ,0,None,Attchd,1995.0,Unf,2,TA,TA,Y,392,64,0,0,0,0,None,6,WD,Normal,145000,0
38,RL,74.0,8532,Reg,Inside,NAmes,Norm,1Fam,1Story,5,6,1954,Hip,CompShg,Wd Sdng,BrkFace,TA,TA,CBlock,TA,TA,No,Rec,1297,Gd,Y,SBrkr,1297,0,0,1297,1,0,3,TA,5,Typ,1,TA,Attchd,1954.0,Fin,2,TA,TA,Y,0,0,0,0,0,0,None,10,WD,Normal,153000,1
39,RL,68.0,7922,Reg,Inside,NAmes,Norm,1Fam,1Story,5,7,1953,Gable,CompShg,VinylSd,None,TA,Gd,CBlock,TA,TA,No,GLQ,1057,TA,Y,SBrkr,1057,0,0,1057,1,0,3,Gd,5,Typ,0,None,Detchd,1953.0,Unf,1,TA,TA,Y,0,52,0,0,0,0,None,1,WD,Abnorml,109000,1
40,RL,65.0,6040,Reg,Inside,Edwards,Norm,Duplex,1Story,4,5,1955,Gable,CompShg,AsbShng,None,TA,TA,PConc,None,None,None,None,0,TA,N,FuseP,1152,0,0,1152,2,0,2,Fa,6,Typ,0,None,None,None,None,0,None,None,N,0,0,0,0,0,0,None,6,WD,AdjLand,82000,0
41,RL,84.0,8658,Reg,Inside,NAmes,Norm,1Fam,1Story,6,5,1965,Gable,CompShg,Wd Sdng,BrkFace,TA,TA,CBlock,TA,TA,No,Rec,1088,Ex,Y,SBrkr,1324,0,0,1324,2,0,3,TA,6,Typ,1,TA,Attchd,1965.0,RFn,2,TA,TA,Y,0,138,0,0,0,0,None,12,WD,Abnorml,160000,0
42,RL,115.0,16905,Reg,Inside,Timber,Norm,1Fam,1Story,5,6,1959,Gable,CompShg,VinylSd,None,TA,Gd,CBlock,TA,TA,Gd,BLQ,1350,Gd,Y,SBrkr,1328,0,0,1328,1,1,2,TA,5,Typ,2,Gd,Attchd,1959.0,RFn,1,TA,TA,P,0,104,0,0,0,0,None,7,WD,Normal,170000,1
43,RL,0.0,9180,IR1,CulDSac,SawyerW,Norm,1Fam,SFoyer,5,7,1983,Gable,CompShg,HdBoard,None,TA,TA,CBlock,Gd,TA,Av,ALQ,840,Gd,Y,SBrkr,884,0,0,884,1,0,2,Gd,5,Typ,0,None,Attchd,1983.0,RFn,2,TA,Gd,Y,240,0,0,0,0,0,None,12,WD,Normal,144000,1
44,RL,0.0,9200,IR1,CulDSac,CollgCr,Norm,1Fam,1Story,5,6,1975,Hip,CompShg,VinylSd,None,TA,TA,CBlock,Gd,TA,Av,LwQ,938,TA,Y,SBrkr,938,0,0,938,1,0,3,TA,5,Typ,0,None,Detchd,1977.0,Unf,1,TA,TA,Y,145,0,0,0,0,0,None,7,WD,Normal,130250,1
45,RL,70.0,7945,Reg,Inside,NAmes,Norm,1Fam,1Story,5,6,1959,Gable,CompShg,BrkFace,None,TA,TA,CBlock,TA,TA,No,ALQ,1150,Ex,Y,FuseA,1150,0,0,1150,1,0,3,TA,6,Typ,0,None,Attchd,1959.0,RFn,1,TA,TA,Y,0,0,0,0,0,0,None,5,WD,Normal,141000,1
46,RL,61.0,7658,Reg,Inside,NridgHt,Norm,TwnhsE,1Story,9,5,2005,Hip,CompShg,MetalSd,BrkFace,Ex,TA,PConc,Ex,TA,No,GLQ,1752,Ex,Y,SBrkr,1752,0,0,1752,2,0,2,Ex,6,Typ,1,Gd,Attchd,2005.0,RFn,2,TA,TA,Y,196,82,0,0,0,0,None,2,WD,Normal,319900,1
47,RL,48.0,12822,IR1,CulDSac,Mitchel,Norm,1Fam,1.5Fin,7,5,2003,Gable,CompShg,VinylSd,None,Gd,TA,PConc,Ex,TA,No,GLQ,1434,Ex,Y,SBrkr,1518,631,0,2149,1,1,1,Gd,6,Typ,1,Ex,Attchd,2003.0,RFn,2,TA,TA,Y,168,43,0,0,198,0,None,8,WD,Abnorml,239686,1
48,FV,84.0,11096,Reg,Inside,Somerst,Norm,1Fam,1Story,8,5,2006,Gable,CompShg,VinylSd,None,Gd,TA,PConc,Gd,TA,Av,GLQ,1656,Ex,Y,SBrkr,1656,0,0,1656,2,0,3,Gd,7,Typ,0,None,Attchd,2006.0,RFn,3,TA,TA,Y,0,146,0,0,0,0,None,7,WD,Normal,249700,0
49,RM,33.0,4456,Reg,Inside,OldTown,Norm,2fmCon,2Story,4,5,1920,Gable,CompShg,MetalSd,None,TA,TA,BrkTil,TA,TA,No,Unf,736,Gd,Y,SBrkr,736,716,0,1452,2,0,2,TA,8,Typ,0,None,None,None,None,0,None,None,N,0,0,102,0,0,0,None,6,New,Partial,113000,0
50,RL,66.0,7742,Reg,Inside,Sawyer,Norm,1Fam,1Story,5,7,1966,Gable,CompShg,HdBoard,None,TA,TA,CBlock,TA,TA,No,BLQ,955,Ex,Y,SBrkr,955,0,0,955,1,0,3,TA,6,Typ,0,None,Attchd,1966.0,Unf,1,TA,TA,Y,0,0,0,0,0,0,None,1,WD,Normal,127000,1
51,RL,0.0,13869,IR2,Corner,Gilbert,Norm,1Fam,2Story,6,6,1997,Gable,CompShg,VinylSd,None,TA,TA,PConc,Gd,TA,Av,GLQ,794,Gd,Y,SBrkr,794,676,0,1470,2,0,3,TA,6,Typ,0,None,Attchd,1997.0,Fin,2,TA,TA,Y,0,75,0,0,0,0,None,7,WD,Normal,177000,1
52,RM,52.0,6240,Reg,Inside,BrkSide,Norm,1Fam,1.5Fin,6,6,1934,Gable,CompShg,Wd Sdng,None,TA,TA,PConc,TA,TA,No,Unf,816,TA,Y,SBrkr,816,0,360,1176,1,0,3,TA,6,Typ,1,Gd,Detchd,1985.0,Unf,2,TA,TA,Y,112,0,0,0,0,0,Shed,9,WD,Normal,114500,0
53,RM,110.0,8472,IR2,Corner,IDOTRR,RRNn,Duplex,1Story,5,5,1963,Gable,CompShg,Wd Sdng,None,Fa,TA,CBlock,Gd,TA,Gd,LwQ,816,TA,N,SBrkr,816,0,0,816,1,0,2,TA,5,Typ,0,None,CarPort,1963.0,Unf,2,TA,TA,Y,106,0,0,0,0,0,None,5,WD,Normal,110000,1
54,RL,68.0,50271,IR1,Inside,Veenker,Norm,1Fam,1Story,9,5,1981,Gable,WdShngl,WdShing,None,Gd,TA,CBlock,Ex,TA,Gd,GLQ,1842,Gd,Y,SBrkr,1842,0,0,1842,0,1,0,Gd,5,Typ,1,Gd,Attchd,1981.0,Fin,3,TA,TA,Y,857,72,0,0,0,0,None,11,WD,Normal,385000,1
55,RL,60.0,7134,Reg,Inside,NAmes,Norm,1Fam,SLvl,5,5,1955,Gable,CompShg,MetalSd,None,TA,TA,CBlock,TA,TA,No,ALQ,384,TA,Y,SBrkr,1360,0,0,1360,1,0,3,TA,6,Min1,1,TA,Detchd,1962.0,Unf,2,TA,TA,Y,0,50,0,0,0,0,None,2,WD,Normal,130000,0
56,RL,100.0,10175,IR1,Inside,NAmes,Norm,1Fam,1Story,6,5,1964,Gable,CompShg,HdBoard,BrkFace,TA,TA,CBlock,TA,TA,No,BLQ,1425,Gd,Y,SBrkr,1425,0,0,1425,2,0,3,TA,7,Typ,1,Gd,Attchd,1964.0,RFn,2,TA,TA,Y,0,0,0,407,0,0,None,7,WD,Normal,180500,0
57,FV,24.0,2645,Reg,Inside,Somerst,Norm,Twnhs,2Story,8,5,1999,Gable,CompShg,MetalSd,BrkFace,Gd,TA,PConc,Gd,TA,No,GLQ,970,Ex,Y,SBrkr,983,756,0,1739,2,1,3,Gd,7,Typ,0,None,Attchd,1999.0,Fin,2,TA,TA,Y,115,0,0,0,0,0,None,8,WD,Abnorml,172500,1
58,RL,89.0,11645,IR1,Corner,CollgCr,Norm,1Fam,2Story,7,5,2004,Gable,CompShg,VinylSd,None,Gd,TA,PConc,Gd,TA,No,Unf,860,Ex,Y,SBrkr,860,860,0,1720,2,1,3,Gd,7,Typ,0,None,Attchd,2004.0,RFn,2,TA,TA,Y,0,70,0,0,0,0,None,8,WD,Normal,196500,0
59,RL,66.0,13682,IR2,CulDSac,StoneBr,Norm,1Fam,2Story,10,5,2006,Hip,CompShg,VinylSd,BrkFace,Ex,TA,PConc,Ex,TA,Gd,Unf,1410,Ex,Y,SBrkr,1426,1519,0,2945,3,1,3,Gd,10,Typ,1,Gd,BuiltIn,2006.0,Fin,3,TA,TA,Y,192,0,37,0,0,0,None,10,New,Partial,438780,0
60,RL,60.0,7200,Reg,Inside,CollgCr,Norm,1Fam,1Story,5,7,1972,Gable,CompShg,HdBoard,None,TA,TA,CBlock,TA,TA,Av,ALQ,780,Ex,Y,SBrkr,780,0,0,780,1,0,2,TA,4,Typ,0,None,Detchd,1973.0,Unf,1,TA,TA,Y,196,0,0,0,0,0,None,1,WD,Normal,124900,0
61,RL,63.0,13072,Reg,Inside,SawyerW,RRAe,1Fam,1Story,6,5,2004,Gable,CompShg,VinylSd,None,TA,TA,PConc,Gd,TA,No,ALQ,1158,Ex,Y,SBrkr,1158,0,0,1158,1,1,3,Gd,5,Typ,0,None,Detchd,2006.0,Unf,2,TA,TA,Y,0,50,0,0,0,0,None,5,New,Partial,158000,1
62,RM,60.0,7200,Reg,Inside,IDOTRR,Norm,1Fam,2.5Unf,5,7,1920,Gable,CompShg,MetalSd,None,TA,TA,BrkTil,TA,Fa,No,Unf,530,TA,N,SBrkr,581,530,0,1111,1,0,3,Fa,6,Typ,0,None,Detchd,1935.0,Unf,1,TA,TA,N,0,0,144,0,0,0,None,3,WD,Normal,101000,0
63,RL,44.0,6442,IR1,Inside,NridgHt,Norm,TwnhsE,1Story,8,5,2006,Gable,CompShg,VinylSd,Stone,Gd,TA,PConc,Gd,Gd,Mn,GLQ,1370,Ex,Y,SBrkr,1370,0,0,1370,2,0,2,Gd,6,Typ,1,Gd,Attchd,2006.0,RFn,2,TA,TA,Y,120,49,0,0,0,0,None,10,WD,Normal,202500,0
64,RM,50.0,10300,IR1,Inside,OldTown,RRAn,1Fam,2Story,7,6,1921,Gable,CompShg,Stucco,None,TA,TA,BrkTil,TA,TA,No,Unf,576,Gd,Y,SBrkr,902,808,0,1710,2,0,3,TA,9,Typ,0,None,Detchd,1990.0,Unf,2,TA,TA,Y,12,11,64,0,0,0,None,4,WD,Normal,140000,0
65,RL,0.0,9375,Reg,Inside,CollgCr,Norm,1Fam,2Story,7,5,1997,Gable,CompShg,VinylSd,BrkFace,TA,TA,PConc,Gd,TA,No,GLQ,1057,Ex,Y,SBrkr,1057,977,0,2034,2,1,3,Gd,8,Typ,0,None,Attchd,1998.0,RFn,2,TA,TA,Y,576,36,0,0,0,0,None,2,WD,Normal,219500,1
66,RL,76.0,9591,Reg,Inside,NridgHt,Norm,1Fam,2Story,8,5,2004,Gable,CompShg,VinylSd,BrkFace,Gd,TA,PConc,Ex,TA,Av,Unf,1143,Ex,Y,SBrkr,1143,1330,0,2473,2,1,4,Gd,9,Typ,1,Gd,BuiltIn,2004.0,RFn,3,TA,TA,Y,192,151,0,0,0,0,None,10,WD,Normal,317000,0
67,RL,0.0,19900,Reg,Inside,NAmes,PosA,1Fam,1Story,7,5,1970,Gable,CompShg,Plywood,BrkFace,TA,TA,CBlock,Gd,TA,Gd,GLQ,1947,TA,Y,SBrkr,2207,0,0,2207,2,0,3,TA,7,Min1,1,Gd,Attchd,1970.0,RFn,2,TA,TA,Y,301,0,0,0,0,0,None,7,WD,Normal,180000,1
