Id,MSZoning,LotFrontage,LotArea,LotShape,LotConfig,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,RoofStyle,RoofMatl,Exterior1st,MasVnrType,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,TotalBsmtSF,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscFeature,MoSold,SaleType,SaleCondition,SalePrice,BsmtHasBath
1,3,65.0,8450,3,4,5,2,0,5,7,5,104,1,1,12,1,2,4,2,2,4,3,2,856,0,1,4,856,854,0,1710,2,1,3,2,8,6,0,3,1,89,2,2,5,5,2,0,61,0,0,0,0,1,2,8,4,208500,1
2,3,80.0,9600,3,2,24,1,0,2,6,8,77,1,1,8,2,3,4,1,2,4,1,0,1262,0,1,4,1262,0,0,1262,2,0,3,3,6,6,1,5,1,62,2,2,5,5,2,298,0,0,0,0,0,1,5,8,4,181500,1
3,3,68.0,11250,0,4,5,2,0,5,7,5,102,1,1,12,1,2,4,2,2,4,2,2,920,0,1,4,920,866,0,1786,2,1,3,2,6,6,1,5,1,87,2,2,5,5,2,0,42,0,0,0,0,1,9,8,4,223500,1
4,3,60.0,9550,0,0,6,2,0,5,7,5,19,1,1,13,2,3,4,0,4,1,3,0,756,2,1,4,961,756,0,1717,1,0,3,2,7,6,1,2,5,84,3,3,5,5,2,0,35,272,0,0,0,1,2,8,0,140000,1
5,3,84.0,14260,0,2,15,2,0,5,8,5,101,1,1,12,1,2,4,2,2,4,0,2,1145,0,1,4,1145,1053,0,2198,2,1,4,2,9,6,1,5,1,86,2,3,5,5,2,192,84,0,0,0,0,1,12,8,4,250000,1
6,3,85.0,14115,0,4,11,2,0,0,5,5,94,1,1,12,2,3,4,5,2,4,3,2,796,0,1,4,796,566,0,1362,1,1,1,3,5,6,0,3,1,79,3,2,5,5,2,40,30,0,320,0,0,3,10,8,4,143000,1
7,3,75.0,10084,3,4,21,2,0,2,8,5,105,1,1,12,3,2,4,2,0,4,0,2,1686,0,1,4,1694,0,0,1694,2,0,3,2,7,6,1,2,1,90,2,2,5,5,2,255,57,0,0,0,0,1,8,8,4,307000,1
8,3,0.0,10382,0,0,14,4,0,5,7,6,74,1,1,6,3,3,4,1,2,4,2,0,1107,0,1,4,1107,983,0,2090,2,1,3,3,7,6,2,5,1,59,2,2,5,5,2,235,204,228,0,0,0,3,11,8,4,200000,1
9,4,51.0,6120,3,4,17,0,0,0,7,5,35,1,1,3,2,3,4,0,4,4,3,6,952,2,1,1,1022,752,0,1774,2,0,2,3,8,2,2,5,5,19,3,2,1,5,2,90,0,205,0,0,0,1,4,8,0,129900,0
10,3,50.0,7420,3,0,3,0,1,1,5,6,42,1,1,8,2,3,4,0,4,4,3,2,991,0,1,4,1077,0,0,1077,1,0,2,3,5,6,2,5,1,27,2,1,2,5,2,0,4,0,0,0,0,1,1,8,4,118000,1
11,3,70.0,11200,3,4,19,2,0,2,5,5,66,3,1,6,2,3,4,1,4,4,3,5,1040,0,1,4,1040,0,0,1040,1,0,3,3,5,6,0,3,5,51,3,1,5,5,2,0,0,0,0,0,0,1,2,8,4,129500,1
