"","id","garagecars","garagetype_2Types","garagetype_Attchd","garagetype_Basment","garagetype_BuiltIn","garagetype_CarPort","garagetype_Detchd","garagetype_NA","garagefinish_Fin","garagefinish_RFn","garagefinish_Unf","garagefinish_NA"
"1",1,2,0,1,0,0,0,0,0,0,1,0,0
"2",2,2,0,1,0,0,0,0,0,0,1,0,0
"3",3,2,0,1,0,0,0,0,0,0,1,0,0
"4",4,3,0,0,0,0,0,1,0,0,0,1,0
"5",5,3,0,1,0,0,0,0,0,0,1,0,0
"6",6,2,0,1,0,0,0,0,0,0,0,1,0
"7",7,2,0,1,0,0,0,0,0,0,1,0,0
"8",8,2,0,1,0,0,0,0,0,0,1,0,0
"9",9,2,0,0,0,0,0,1,0,0,0,1,0
"10",10,1,0,1,0,0,0,0,0,0,1,0,0
"11",11,1,0,0,0,0,0,1,0,0,0,1,0
"12",12,3,0,0,0,1,0,0,0,1,0,0,0
"13",13,1,0,0,0,0,0,1,0,0,0,1,0
"14",14,3,0,1,0,0,0,0,0,0,1,0,0
"15",15,1,0,1,0,0,0,0,0,0,1,0,0
"16",16,2,0,0,0,0,0,1,0,0,0,1,0
"17",17,2,0,1,0,0,0,0,0,1,0,0,0
"18",18,2,0,0,0,0,1,0,0,0,0,1,0
"19",19,2,0,0,0,0,0,1,0,0,0,1,0
"20",20,1,0,1,0,0,0,0,0,0,0,1,0
"21",21,3,0,0,0,1,0,0,0,0,1,0,0
"22",22,1,0,1,0,0,0,0,0,0,0,1,0
"23",23,2,0,1,0,0,0,0,0,0,1,0,0
"24",24,2,0,1,0,0,0,0,0,0,0,1,0
"25",25,1,0,1,0,0,0,0,0,0,0,1,0
"26",26,3,0,1,0,0,0,0,0,0,1,0,0
"27",27,2,0,0,0,0,0,1,0,0,0,1,0
"28",28,3,0,1,0,0,0,0,0,0,1,0,0
"29",29,1,0,1,0,0,0,0,0,0,1,0,0
"30",30,1,0,0,0,0,0,1,0,0,0,1,0
"31",31,1,0,0,0,0,0,1,0,0,0,1,0
"32",32,1,0,1,0,0,0,0,0,0,0,1,0
"33",33,2,0,1,0,0,0,0,0,0,1,0,0
"34",34,2,0,1,0,0,0,0,0,0,1,0,0
"35",35,2,0,1,0,0,0,0,0,1,0,0,0
"36",36,3,0,0,0,1,0,0,0,1,0,0,0
"37",37,2,0,1,0,0,0,0,0,0,0,1,0
"38",38,2,0,1,0,0,0,0,0,1,0,0,0
"39",39,1,0,0,0,0,0,1,0,0,0,1,0
"40",40,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1
"41",41,2,0,1,0,0,0,0,0,0,1,0,0
"42",42,1,0,1,0,0,0,0,0,0,1,0,0
"43",43,2,0,1,0,0,0,0,0,0,1,0,0
"44",44,1,0,0,0,0,0,1,0,0,0,1,0
"45",45,1,0,1,0,0,0,0,0,0,1,0,0
"46",46,2,0,1,0,0,0,0,0,0,1,0,0
"47",47,2,0,1,0,0,0,0,0,0,1,0,0
"48",48,3,0,1,0,0,0,0,0,0,1,0,0
"49",49,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1
"50",50,1,0,1,0,0,0,0,0,0,0,1,0
"51",51,2,0,1,0,0,0,0,0,1,0,0,0
"52",52,2,0,0,0,0,0,1,0,0,0,1,0
"53",53,2,0,0,0,0,1,0,0,0,0,1,0
"54",54,3,0,1,0,0,0,0,0,1,0,0,0
"55",55,2,0,0,0,0,0,1,0,0,0,1,0
"56",56,2,0,1,0,0,0,0,0,0,1,0,0
"57",57,2,0,1,0,0,0,0,0,1,0,0,0
"58",58,2,0,1,0,0,0,0,0,0,1,0,0
"59",59,3,0,0,0,1,0,0,0,1,0,0,0
"60",60,1,0,0,0,0,0,1,0,0,0,1,0
"61",61,2,0,0,0,0,0,1,0,0,0,1,0
"62",62,1,0,0,0,0,0,1,0,0,0,1,0
"63",63,2,0,1,0,0,0,0,0,0,1,0,0
"64",64,2,0,0,0,0,0,1,0,0,0,1,0
"65",65,2,0,1,0,0,0,0,0,0,1,0,0
"66",66,3,0,0,0,1,0,0,0,0,1,0,0
"67",67,2,0,1,0,0,0,0,0,0,1,0,0
"68",68,2,0,1,0,0,0,0,0,0,1,0,0
"69",69,1,0,1,0,0,0,0,0,0,0,1,0
"70",70,2,0,1,0,0,0,0,0,1,0,0,0
"71",71,2,0,1,0,0,0,0,0,1,0,0,0
"72",72,2,0,0,0,0,0,1,0,0,0,1,0
"73",73,2,0,1,0,0,0,0,0,1,0,0,0
"74",74,2,0,1,0,0,0,0,0,0,0,1,0
"75",75,1,0,0,0,0,0,1,0,0,0,1,0
"76",76,1,0,0,0,1,0,0,0,0,0,1,0
"77",77,1,0,0,0,0,0,1,0,0,0,1,0
"78",78,1,0,0,0,0,0,1,0,0,0,1,0
"79",79,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1
"80",80,2,0,0,0,0,0,1,0,0,0,1,0
"81",81,1,0,1,0,0,0,0,0,1,0,0,0
"82",82,2,0,1,0,0,0,0,0,1,0,0,0
"83",83,3,0,1,0,0,0,0,0,0,1,0,0
"84",84,2,0,0,0,0,0,1,0,0,0,1,0
"85",85,2,0,0,0,1,0,0,0,1,0,0,0
"86",86,2,0,1,0,0,0,0,0,0,0,1,0
"87",87,2,0,0,0,1,0,0,0,1,0,0,0
"88",88,2,0,0,0,0,0,1,0,0,1,0,0
"89",89,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1
"90",90,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1
"91",91,2,0,0,0,0,0,1,0,0,0,1,0
"92",92,2,0,1,0,0,0,0,0,0,0,1,0
"93",93,2,0,0,0,0,0,1,0,0,0,1,0
"94",94,2,0,0,0,0,0,1,0,0,0,1,0
"95",95,2,0,1,0,0,0,0,0,0,1,0,0
"96",96,2,0,0,0,1,0,0,0,1,0,0,0
"97",97,2,0,1,0,0,0,0,0,0,1,0,0
"98",98,1,0,1,0,0,0,0,0,1,0,0,0
"99",99,1,0,0,1,0,0,0,0,0,0,1,0
